Timestamp,Type,Client_Identifier,Question_Value,Max_Time_Allowed
2023-09-13 09:09:57,followup0,5GjRTFAspc1j5FefP6tyKv9pehAx2EdhC6UuPVyAEzGaerkL,1.0262787109375,9.8
2023-09-13 09:10:03,augment,5Dd8gaRNdhm1YP7G1hcB1N842ecAUQmbLjCRLqH5ycaTGrWv,12.56007890625,9.8
2023-09-13 09:10:04,followup1+,5EhvL1FVkQPpMjZX4MAADcW42i3xPSF1KiCpuaxTYVr28sux,13.643528125,9.8
2023-09-13 09:10:12,answer0,5Ehv5XMriPZwNBtYHdQV7VrdbN8MBTDTmQhWprZJXxSiMapR,1.2940470703125,9.8
2023-09-13 09:10:14,followup0,5H6BgKkAr2Anmm9Xw5BVDE4VaQmFEVMkJUHeT7Gki4J7yF4x,2.8142015625,9.8
2023-09-13 09:10:20,followup1+,5G1NjW9YhXLadMWajvTkfcJy6up3yH2q1YzMXDTi6ijanChe,1.7209400390625,9.8
2023-09-13 09:10:24,answer1+,5ECvRLMj9jkbdM4sLuH5WvjUe87TcAdjRfUj5onN4iKqYYGm,1.6719529296875,9.8
2023-09-13 09:10:26,answer1+,5F4tQyWrhfGVcNhoqeiNsR6KjD4wMZ2kfhLj4oHYuyHbZAc3,43.353625,9.8
2023-09-13 09:10:37,followup1+,5GjRTFAspc1j5FefP6tyKv9pehAx2EdhC6UuPVyAEzGaerkL,1.0262787109375,9.8
2023-09-13 09:10:38,augment,5C88zLBbob1g3p76ierkQAzLTbJCR1HqugaZKyzqU6r2Q12y,12.227959375,9.8
2023-09-13 09:10:39,augment,5HEo565WAy4Dbq3Sv271SAi7syBSofyfhhwRNjFNSM2gP9M2,23.24923125,9.8
2023-09-13 09:10:44,augment,5CXRfP2ekFhe62r7q3vppRajJmGhTi7vwvb2yr79jveZ282w,1.7649568359375,9.8
2023-09-13 09:10:50,answer1+,5H9XxRFAW2KHnN94qzCGMyEs6Bi4pTiatW9LcwGmtJp42Vaq,2.192013671875,9.8
2023-09-13 09:10:56,answer0,5HBvt2r539i34YhdJnmQS9Z83zgztPF9zrdDdJcWYpYm8oN6,1.8744267578125,9.8
2023-09-13 09:10:56,augment,5Dd8gaRNdhm1YP7G1hcB1N842ecAUQmbLjCRLqH5ycaTGrWv,12.56007890625,9.8
2023-09-13 09:11:00,answer1+,5HeKSHGdsRCwVgyrHchijnZJnq4wiv6GqoDLNah8R5WMfnLB,2.8156076171875,9.8
2023-09-13 09:11:05,followup1+,5EpxBYq4aVgTQ1rYeBo2mzYt3hgpRTqxZTSsJEkCstBP5Jse,1.1142458984375,9.8
2023-09-13 09:11:10,augment,5ECvRLMj9jkbdM4sLuH5WvjUe87TcAdjRfUj5onN4iKqYYGm,1.6719529296875,9.8
2023-09-13 09:11:21,answer0,5HEo565WAy4Dbq3Sv271SAi7syBSofyfhhwRNjFNSM2gP9M2,23.24923125,9.8
2023-09-13 09:11:22,followup1+,5HeKSHGdsRCwVgyrHchijnZJnq4wiv6GqoDLNah8R5WMfnLB,2.8156076171875,9.8
2023-09-13 09:11:23,followup1+,5C88zLBbob1g3p76ierkQAzLTbJCR1HqugaZKyzqU6r2Q12y,12.2280859375,9.8
2023-09-13 09:11:25,followup1+,5FqPJMZDp39KRd9jDhXuFpZWkYD7wG5AXmjoWqK8rDy7ok5B,4.08289296875,9.8
2023-09-13 09:11:30,followup0,5Dd8gaRNdhm1YP7G1hcB1N842ecAUQmbLjCRLqH5ycaTGrWv,12.56007890625,9.8
2023-09-13 09:11:33,followup0,5HNQURvmjjYhTSksi8Wfsw676b4owGwfLR2BFAQzG7H3HhYf,8.3684234375,9.8
2023-09-13 09:11:34,answer1+,5HBvt2r539i34YhdJnmQS9Z83zgztPF9zrdDdJcWYpYm8oN6,1.8744267578125,9.8
2023-09-13 09:11:35,answer0,5ED6jwDECEmNvSp98R2qyEUPHDv9pi14E6n3TS8CicD6YfhL,4.69360859375,9.8
2023-09-13 09:11:36,answer1+,5HK5tp6t2S59DywmHRWPBVJeJ86T61KjurYqeooqj8sREpeN,4.025834765625,9.8
2023-09-13 09:11:37,followup1+,5EhvL1FVkQPpMjZX4MAADcW42i3xPSF1KiCpuaxTYVr28sux,13.6436703125,9.8
2023-09-13 09:11:42,answer1+,5GjRTFAspc1j5FefP6tyKv9pehAx2EdhC6UuPVyAEzGaerkL,1.0262681640625,9.8
2023-09-13 09:11:44,followup1+,5HEo565WAy4Dbq3Sv271SAi7syBSofyfhhwRNjFNSM2gP9M2,23.24923125,9.8
2023-09-13 09:11:45,answer0,5CXRfP2ekFhe62r7q3vppRajJmGhTi7vwvb2yr79jveZ282w,1.7649568359375,9.8
2023-09-13 09:11:45,answer1+,5HeKSHGdsRCwVgyrHchijnZJnq4wiv6GqoDLNah8R5WMfnLB,2.8156076171875,9.8
2023-09-13 09:11:53,followup0,5H9XxRFAW2KHnN94qzCGMyEs6Bi4pTiatW9LcwGmtJp42Vaq,2.192013671875,9.8
2023-09-13 09:12:01,answer1+,5EsbfxPcQaUrCDurUJ8Q5qDKNENNGziu3qHWUbXrcuY2pbNz,1.2549435546875,9.8
2023-09-13 09:12:01,followup1+,5DvTpiniW9s3APmHRYn8FroUWyfnLtrsid5Mtn5EwMXHN2ed,9.4315,9.8
2023-09-13 09:12:08,followup0,5CaCUPsSSdKWcMJbmdmJdnWVa15fJQuz5HsSGgVdZffpHAUa,1.28170673828125,9.8
2023-09-13 09:12:24,answer1+,5DvTpiniW9s3APmHRYn8FroUWyfnLtrsid5Mtn5EwMXHN2ed,9.4315,9.8
2023-09-13 09:12:25,augment,5F4tQyWrhfGVcNhoqeiNsR6KjD4wMZ2kfhLj4oHYuyHbZAc3,43.354690625,9.8
2023-09-13 09:12:27,answer0,5CaCUPsSSdKWcMJbmdmJdnWVa15fJQuz5HsSGgVdZffpHAUa,1.28170673828125,9.8
2023-09-13 09:12:40,augment,5EqmawEsCUqntKRB9NJzHn5sfwqBNLWStCXt73Yyr835EQvW,2.5921625,9.8
2023-09-13 09:12:40,answer1+,5HNQURvmjjYhTSksi8Wfsw676b4owGwfLR2BFAQzG7H3HhYf,8.3684234375,9.8
2023-09-13 09:12:51,answer0,5EpxBYq4aVgTQ1rYeBo2mzYt3hgpRTqxZTSsJEkCstBP5Jse,1.114257421875,9.8
2023-09-13 09:13:04,followup1+,5HNQURvmjjYhTSksi8Wfsw676b4owGwfLR2BFAQzG7H3HhYf,8.3684234375,9.8
2023-09-13 09:13:11,augment,5FFApaS75bv5pJHfAp2FVLBj9ZaXuFDjEypsaBNc1wCfe52v,3.551144921875,9.8
2023-09-13 09:13:16,answer1+,5DvTpiniW9s3APmHRYn8FroUWyfnLtrsid5Mtn5EwMXHN2ed,9.4315,9.8
2023-09-13 09:13:18,answer0,5FqPJMZDp39KRd9jDhXuFpZWkYD7wG5AXmjoWqK8rDy7ok5B,4.08285078125,9.8
2023-09-13 09:13:31,answer1+,5H6BgKkAr2Anmm9Xw5BVDE4VaQmFEVMkJUHeT7Gki4J7yF4x,2.8141724609375,9.8
2023-09-13 09:13:36,augment,5D2wzCtQWgmDyhBYESFekn6bDJf5sKiA1TRukVJBxCsvBDPU,1.348039453125,9.8
2023-09-13 09:13:38,followup1+,5C88zLBbob1g3p76ierkQAzLTbJCR1HqugaZKyzqU6r2Q12y,12.2280859375,9.8
2023-09-13 09:13:39,followup1+,5FqPJMZDp39KRd9jDhXuFpZWkYD7wG5AXmjoWqK8rDy7ok5B,4.08289296875,9.8
